product_id,product_name,category,price
1,リフトパック,食品,2805.77
2,学生セット,菓子,2118.9
3,大統領袋,冷凍食品,498.09
4,知覚パック,菓子,1885.46
5,参加するパック,飲料,1801.81
6,反射缶,飲料,803.13
7,高いセット,菓子,2042.52
8,サラダセット,冷凍食品,1640.02
9,私袋,冷凍食品,1950.04
10,意図セット,飲料,252.22
11,舗装パック,冷凍食品,1298.57
12,シュガー袋,冷凍食品,2180.34
13,メニューセット,食品,391.58
14,極端な袋,食品,2335.22
15,革新セット,日用品,115.03
16,仕上げセット,菓子,1696.02
17,賞賛する缶,飲料,2794.39
18,風景セット,冷凍食品,1280.03
19,野球袋,日用品,2811.59
20,はパック,食品,2647.36
21,ダッシュ缶,冷凍食品,1484.6
22,敵セット,菓子,678.42
23,発生するセット,食品,2895.35
24,軸袋,飲料,1031.39
25,オークション缶,冷凍食品,1973.1
26,リンクセット,日用品,2733.02
27,風景パック,飲料,359.44
28,錯覚パック,冷凍食品,1764.99
29,クルーセット,冷凍食品,1651.94
30,符号パック,冷凍食品,2197.04
31,奨励します缶,冷凍食品,2816.34
32,ストレージセット,冷凍食品,2748.37
33,ベルベット袋,飲料,607.69
34,欠乏缶,菓子,2658.51
35,拡張パック,菓子,609.79
36,君はセット,飲料,2766.94
37,脊椎缶,菓子,2991.8
38,織るパック,日用品,1251.28
39,改善セット,日用品,1536.61
40,溝ボトル,飲料,2816.17
41,擁する袋,日用品,2890.18
42,キャビンパック,飲料,2785.52
43,バーゲンパック,日用品,2642.56
44,ささやきボトル,食品,126.87
45,カラムボトル,飲料,1747.09
46,花嫁缶,冷凍食品,411.17
47,移動袋,日用品,2950.68
48,尊敬する袋,食品,925.23
49,省略パック,飲料,2968.39
50,怒りボトル,日用品,1675.57
51,反射袋,冷凍食品,1532.35
52,立派なセット,日用品,2821.83
53,通行料金袋,食品,2568.07
54,フレームパック,菓子,1457.26
55,あなた自身袋,菓子,659.15
56,再現する缶,食品,426.68
57,立派なボトル,食品,571.23
58,バケツパック,飲料,1430.85
59,部隊パック,菓子,846.07
60,試してみるボトル,飲料,639.98
61,日曜日ボトル,日用品,2236.19
62,ソースボトル,食品,2393.23
63,ホイールパック,飲料,1746.57
64,彼女ボトル,食品,2296.12
65,犯罪者ボトル,飲料,608.94
66,運パック,日用品,2582.82
67,彼女パック,日用品,2701.42
68,虐待缶,冷凍食品,2498.27
69,デフォルト袋,菓子,1594.31
70,数字セット,冷凍食品,351.54
71,普通のパック,菓子,2040.84
72,画面セット,日用品,635.87
73,電話缶,飲料,507.77
74,葉袋,食品,1038.44
75,販売袋,日用品,819.34
76,ささやき袋,日用品,856.28
77,主人缶,飲料,783.01
78,人形ボトル,日用品,2285.89
79,カラム袋,日用品,2866.7
80,尊敬する袋,飲料,975.64
81,主婦缶,日用品,2196.36
82,ささやきボトル,菓子,133.16
83,持っていました袋,菓子,1995.68
84,移動袋,菓子,2109.03
85,高いボトル,菓子,280.16
86,尿パック,日用品,442.85
87,創傷パック,食品,989.74
88,緩む袋,菓子,1275.71
89,厳しいセット,菓子,1557.31
90,スペルボトル,日用品,2695.84
91,運ボトル,冷凍食品,2140.32
92,インチセット,日用品,1001.84
93,〜ボトル,飲料,440.51
94,本質的な缶,菓子,2756.78
95,コミュニティボトル,飲料,955.61
96,転倒ボトル,菓子,1882.41
97,改善ボトル,冷凍食品,735.47
98,バーゲンパック,食品,487.35
99,明らかにする缶,冷凍食品,544.24
100,デッドボトル,日用品,2268.43
101,擁する缶,日用品,1856.64
102,状況缶,飲料,1305.95
103,ベルベット缶,飲料,1692.78
104,人形セット,日用品,1465.4
105,ハードウェアボトル,日用品,1658.8
106,メニューパック,日用品,2025.87
107,パンパック,菓子,733.39
108,癌パック,冷凍食品,817.65
109,バスパック,菓子,2288.74
110,脊椎ボトル,食品,2632.09
111,バスパック,菓子,337.42
112,メニュー缶,日用品,1395.57
113,ブランチセット,菓子,2140.92
114,副袋,飲料,326.5
115,緩むパック,日用品,1736.09
116,メニュー袋,冷凍食品,279.1
117,サラダ袋,菓子,1688.18
118,ジャーナル袋,日用品,1565.91
119,雪缶,飲料,1760.83
120,指名パック,飲料,534.57
121,チーズボトル,菓子,1051.54
122,評議会缶,日用品,1608.99
123,それボトル,冷凍食品,437.1
124,クールパック,食品,695.66
125,厳しい缶,飲料,1791.13
126,不自然な袋,食品,363.73
127,改善缶,冷凍食品,1580.09
128,コミュニティ缶,菓子,2445.21
129,本質的なパック,飲料,1414.95
130,あなた自身袋,食品,1588.42
131,風景袋,飲料,1424.72
132,主人セット,食品,267.44
133,数字セット,日用品,1440.9
134,教会ボトル,日用品,2440.05
135,花嫁セット,菓子,2197.51
136,コーラスパック,冷凍食品,1248.25
137,犯罪者缶,飲料,2467.71
138,チーズ袋,冷凍食品,2262.83
139,オークション缶,食品,1777.1
140,出演者パック,菓子,231.34
141,数字缶,日用品,1099.13
142,中央袋,日用品,284.9
143,革新セット,菓子,2982.96
144,私ボトル,飲料,2810.29
145,指名袋,冷凍食品,300.16
146,脊椎袋,食品,2807.95
147,極端な袋,冷凍食品,192.03
148,合計袋,日用品,1285.71
149,行進パック,菓子,2330.02
150,リフト袋,日用品,2320.9
151,フェミニスト缶,日用品,2937.17
152,編組パック,食品,1973.05
153,スキームセット,飲料,1319.05
154,デフォルト缶,飲料,2979.28
155,マリン缶,食品,1209.19
156,叔父缶,菓子,2621.9
157,差別する缶,冷凍食品,2729.63
158,高いパック,菓子,1189.37
159,パーセントセット,冷凍食品,2079.92
160,ニュースセット,飲料,2019.2
161,出演者袋,日用品,1663.97
162,呼ぶボトル,日用品,1995.25
163,呼ぶパック,菓子,1108.53
164,大統領セット,食品,617.57
165,ホイールパック,冷凍食品,1658.05
166,デフォルトパック,日用品,1633.64
167,クール袋,菓子,2210.79
168,残るセット,食品,745.8
169,午前ボトル,飲料,110.07
170,画面ボトル,食品,165.93
171,主人ボトル,飲料,965.25
